Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 1		isolate: patient C, strain: 750820BMZ	11676	ASM310327v1	GCA_003103275.1	GenBank	Annotation submitted by Laboratoire de Virologie, CHU Charles Nicolle	Complete Genome	8923	8923	2013-11-27	9		
Human immunodeficiency virus 1		isolate: YNFL01	11676	ASM310329v1	GCA_003103295.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9038	9038	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL02	11676	ASM310331v1	GCA_003103315.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9046	9046	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL05	11676	ASM310333v1	GCA_003103335.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9012	9012	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL10_1	11676	ASM310335v1	GCA_003103355.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9090	9090	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL13	11676	ASM310337v1	GCA_003103375.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8969	8969	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL15	11676	ASM310339v1	GCA_003103395.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9045	9045	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL16	11676	ASM310341v1	GCA_003103415.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8936	8936	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL18	11676	ASM310343v1	GCA_003103435.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8956	8956	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL22	11676	ASM310345v1	GCA_003103455.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8911	8911	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL31	11676	ASM310347v1	GCA_003103475.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8969	8969	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL33	11676	ASM310349v1	GCA_003103495.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8935	8935	2013-09-27	9		
Human immunodeficiency virus 1		isolate: YNFL37	11676	ASM310351v1	GCA_003103515.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	8980	8980	2013-09-27	9		
Human immunodeficiency virus 1		isolate: 09YNLX19sg	11676	ASM310353v1	GCA_003103535.1	GenBank	Annotation submitted by Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University, Key Laboratory of AIDS Immunology of Ministry of Health	Complete Genome	8813	8813	2013-06-18	9		
Human immunodeficiency virus 1		isolate: BAV499	11676	ASM310355v1	GCA_003103555.1	GenBank	Annotation submitted by Department of Biomedical and Clinical Sciences L. Sacco, University of Milan	Complete Genome	9684	9684	2014-02-04	6		
Human immunodeficiency virus 1		isolate: BAV514	11676	ASM310357v1	GCA_003103575.1	GenBank	Annotation submitted by Department of Biomedical and Clinical Sciences L. Sacco, University of Milan	Complete Genome	9681	9681	2014-02-04	6		
Human immunodeficiency virus 1		isolate: BAV636	11676	ASM310359v1	GCA_003103595.1	GenBank	Annotation submitted by Department of Biomedical and Clinical Sciences L. Sacco, University of Milan	Complete Genome	9681	9681	2014-02-04	6		
Human immunodeficiency virus 1		isolate: JL100010	11676	ASM310361v1	GCA_003103615.1	GenBank	Annotation submitted by State Key Laboratory for Infectious Disease Prevention and Control, Chinese Center for Disease Control and Prevention	Complete Genome	9024	9024	2013-05-01	9		
Human immunodeficiency virus 1		isolate: FJ070004	11676	ASM310363v1	GCA_003103635.1	GenBank	Annotation submitted by State Key Laboratory for Infectious Disease Prevention and Control, Chinese Center for Disease Control and Prevention	Complete Genome	9087	9087	2013-05-01	9		
Human immunodeficiency virus 1		isolate: JL070009	11676	ASM310365v1	GCA_003103655.1	GenBank	Annotation submitted by State Key Laboratory for Infectious Disease Prevention and Control, Chinese Center for Disease Control and Prevention	Complete Genome	9080	9080	2013-05-01	9		
Human immunodeficiency virus 1		isolate: DH17	11676	ASM310367v1	GCA_003103675.1	GenBank	Annotation submitted by Division of Virology and Immunology, National Center for AIDS-STD Control and Prevention, Chinese Center for Disease Control and Prevention	Complete Genome	8932	8932	2013-11-15	9		
Human immunodeficiency virus 1		isolate: 10MYPR87	11676	ASM310369v1	GCA_003103695.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERIA), University Malaya	Complete Genome	8931	8931	2013-12-17	9		
Human immunodeficiency virus 1		isolate: JS2010001	11676	ASM310371v1	GCA_003103715.1	GenBank	Annotation submitted by Department of STD/AIDS Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention	Complete Genome	8395	8395	2014-01-31	8		
Human immunodeficiency virus 1		isolate: 10BR_MG003	11676	ASM310373v1	GCA_003103735.1	GenBank	Annotation submitted by Laboratorio de Virologia, Instituto de Medicina Tropical de Sao Paulo	Complete Genome	9075	9075	2014-05-21	9		
Human immunodeficiency virus 1		isolate: 10BR_MG002	11676	ASM310375v1	GCA_003103755.1	GenBank	Annotation submitted by Laboratorio de Virologia, Instituto de Medicina Tropical de Sao Paulo	Complete Genome	9062	9062	2014-05-21	9		
Human immunodeficiency virus 1		isolate: 10BR_MG004	11676	ASM310377v1	GCA_003103775.1	GenBank	Annotation submitted by Laboratorio de Virologia, Instituto de Medicina Tropical de Sao Paulo	Complete Genome	8939	8939	2014-05-21	8		
Human immunodeficiency virus 1		isolate: 10BR_MG008	11676	ASM310379v1	GCA_003103795.1	GenBank	Annotation submitted by Laboratorio de Virologia, Instituto de Medicina Tropical de Sao Paulo	Complete Genome	8497	8497	2014-05-21	9		
Human immunodeficiency virus 1		isolate: 10BR_MG025	11676	ASM310381v1	GCA_003103815.1	GenBank	Annotation submitted by Laboratorio de Virologia, Instituto de Medicina Tropical de Sao Paulo	Complete Genome	8269	8269	2014-05-21	9		
Human immunodeficiency virus 1		isolate: 10BR_PE004	11676	ASM310383v1	GCA_003103835.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8524	8524	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE008	11676	ASM310385v1	GCA_003103855.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	9236	9236	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE009	11676	ASM310387v1	GCA_003103875.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8314	8314	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE016	11676	ASM310389v1	GCA_003103895.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	9064	9064	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE025	11676	ASM310391v1	GCA_003103915.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8541	8541	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE064	11676	ASM310393v1	GCA_003103935.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8519	8519	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE066	11676	ASM310395v1	GCA_003103955.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8538	8538	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE071	11676	ASM310397v1	GCA_003103975.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	9104	9104	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE084	11676	ASM310399v1	GCA_003103995.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8674	8674	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE087	11676	ASM310401v1	GCA_003104015.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8999	8999	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE088	11676	ASM310403v1	GCA_003104035.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	9023	9023	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE090	11676	ASM310405v1	GCA_003104055.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	8526	8526	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE092	11676	ASM310407v1	GCA_003104075.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	9011	9011	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_PE094	11676	ASM310409v1	GCA_003104095.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical - USP	Complete Genome	9213	9213	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 10BR_RJ046	11676	ASM310411v1	GCA_003104115.1	GenBank	Annotation submitted by virology, Instituto de medicina Tropical - USP	Complete Genome	8831	8831	2014-08-18	9		
Human immunodeficiency virus 1		isolate: X3208	11676	ASM310413v1	GCA_003104135.1	GenBank	Annotation submitted by HIV-1 Biology and Variability, CNM-ISCIII	Complete Genome	8997	8997	2014-12-06	9		
Human immunodeficiency virus 1		isolate: 10MYKJ052	11676	ASM310415v1	GCA_003104155.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), Department of Medicine, Faculty of Medicine, University of Malaya	Complete Genome	8990	8990	2015-08-24	9		
Human immunodeficiency virus 1		isolate: 10MYPR268	11676	ASM310417v1	GCA_003104175.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), Department of Medicine, Faculty of Medicine, University of Malaya	Complete Genome	8885	8885	2015-08-24	9		
Human immunodeficiency virus 1		isolate: 11MYPR416	11676	ASM310419v1	GCA_003104195.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), Department of Medicine, Faculty of Medicine, University of Malaya	Complete Genome	8885	8885	2015-08-24	9		
Human immunodeficiency virus 1		isolate: 10BR_SP026	11676	ASM310421v1	GCA_003104215.1	GenBank		Complete Genome	8968	8968	2016-02-04			
Human immunodeficiency virus 1		isolate: YNTC19	11676	ASM310423v1	GCA_003104235.1	GenBank	Annotation submitted by Kunming University of Science and Technology, Faculty of Life Science and Technology, Yunnan Provincial Center for Molecular Diagnosis	Complete Genome	8750	8750	2016-03-21	8		
Human immunodeficiency virus 1		isolate: YNTC35	11676	ASM310425v1	GCA_003104255.1	GenBank	Annotation submitted by Kunming University of Science and Technology, Faculty of Life Science and Technology, Yunnan Provincial Center for Molecular Diagnosis	Complete Genome	8627	8627	2016-03-21	8		
Human immunodeficiency virus 1		isolate: YNTC88	11676	ASM310427v1	GCA_003104275.1	GenBank	Annotation submitted by Kunming University of Science and Technology, Faculty of Life Science and Technology, Yunnan Provincial Center for Molecular Diagnosis	Complete Genome	8298	8298	2016-03-21	8		
Human immunodeficiency virus 1			11676	ASM310435v1	GCA_003104355.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9793	9793	1994-04-09	9		
Human immunodeficiency virus 1			11676	ASM310437v1	GCA_003104375.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9754	9754	1994-03-24	9		
Human immunodeficiency virus 1		isolate: Nigeria 5813, strain: IbNg	11676	ASM310441v1	GCA_003104415.1	GenBank	Annotation submitted by Laboratory of Viral Oncology and AIDS Research, University of Southern California, School of Medicine	Complete Genome	9201	9201	1996-08-02	9		
Human immunodeficiency virus 1		isolate: 05JPMYC113SP420	11676	ASM310447v1	GCA_003104475.1	GenBank	Annotation submitted by Contact:Yutaka Takebe National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku-ku, Tokyo 162-8640, Japan	Complete Genome	9112	9112	2015-02-27	9		
Human immunodeficiency virus 1			11676	ASM310451v1	GCA_003104515.1	GenBank		Complete Genome	9128	9128	1993-08-02			
Human immunodeficiency virus 1			11676	ASM310453v1	GCA_003104535.1	GenBank		Complete Genome	9143	9143	1993-08-02			
Human immunodeficiency virus 1			11676	ASM310459v1	GCA_003104595.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9178	9178	1993-08-02	9		
Human immunodeficiency virus 1			11676	ASM310461v1	GCA_003104615.1	GenBank	Annotation submitted by Kersti A. MacInnes, HIV Sequence Database, Los Alamos National Laboratory, Group T-10, Mail Stop K710, Los Alamos, NM 87545, USA	Complete Genome	9720	9720	1997-01-11	9		
Human immunodeficiency virus 1		strain: C2220 (ETH2220)	11676	ASM310471v1	GCA_003104715.1	GenBank	Annotation submitted by Mika O. Salminen, Global Molecular Epidemiology, Henry M. Jackson Foundation, 1600 East Gude Drive, Rockville, MD 20850, USA	Complete Genome	9031	9031	1996-06-05	9		
Human immunodeficiency virus 1			11676	ASM310473v1	GCA_003104735.1	GenBank	Annotation submitted by HIV Database, Los Alamos National Laboratory	Complete Genome	9843	9843	1996-12-17	8		
Human immunodeficiency virus 1			11676	ASM310475v1	GCA_003104755.1	GenBank	Annotation submitted by HIV Database, Los Alamos National Laboratory	Complete Genome	8999	8999	1997-03-17	7		
Human immunodeficiency virus 1		isolate: 92BR025 from Brazil	11676	ASM310477v1	GCA_003104775.1	GenBank	Annotation submitted by John C. Blouin, HIV Database, Los Alamos, Eniwetok, Los Alamos, NM 87545, USA	Complete Genome	8959	8959	1997-06-13	9		
Human immunodeficiency virus 1		strain: CM240	11676	ASM310479v1	GCA_003104795.1	GenBank	Annotation submitted by J.K. Carr, Molecular Epidemiology, Henry M. Jackson, 1600 E. Gude Dr., Rockville, MD 20850, USA	Complete Genome	9203	9203	1996-09-13	9		
Human immunodeficiency virus 1		strain: JRFL	11676	ASM310481v1	GCA_003104815.1	GenBank	Annotation submitted by T-10, Los Alamos National Lab, Mail Stop K710, Los Alamos, NM 87545, USA	Complete Genome	8896	8896	1996-07-28	7		
Human immunodeficiency virus 1		isolate: 84zr085	11676	ASM310483v1	GCA_003104835.1	GenBank	Annotation submitted by Dept. of Epidemiology, University of Alabama	Complete Genome	8975	8975	1997-10-30	9		
Human immunodeficiency virus 1		isolate: 94UG114	11676	ASM310485v1	GCA_003104855.1	GenBank	Annotation submitted by Dept. of Epidemiology, University of Alabama	Complete Genome	8952	8952	1997-10-30	9		
Human immunodeficiency virus 1		isolate: 92NG083	11676	ASM310487v1	GCA_003104875.1	GenBank	Annotation submitted by Dept. of Epidemiology, University of Alabama	Complete Genome	8987	8987	1997-10-30	9		
Human immunodeficiency virus 1			11676	ASM310864v1	GCA_003108645.1	GenBank	Annotation submitted by Roques P., Service de Neurovirologie DRM, Commissariat a l'Energie Atomique, B.P. 6, Fontenay Aux Roses 92265, FRANCE	Complete Genome	9182	9182	1998-07-04	8		
Human immunodeficiency virus 1		isolate: 95ML84	11676	ASM310866v1	GCA_003108665.1	GenBank	Annotation submitted by Montavon C. Laboratoire Retrovirus, Ird, 911 avenue Agropolis, 34032 Montpellier, FRANCE	Complete Genome	9715	9715	2000-04-18	9		
Human immunodeficiency virus 1		isolate: 97ZR-EQTB11	11676	ASM310868v1	GCA_003108685.1	GenBank	Annotation submitted by Triques K., Retrovirus, Ird, 34000, Montpellier, FRANCE	Complete Genome	8600	8600	1999-10-21	4		
Human immunodeficiency virus 1		isolate: 95CM-MP255	11676	ASM310870v1	GCA_003108705.1	GenBank	Annotation submitted by Triques K., Retrovirus, Ird, 34000, Montpellier, FRANCE	Complete Genome	8555	8555	1999-10-21	4		
Human immunodeficiency virus 1		isolate: 95CM-MP257	11676	ASM310872v1	GCA_003108725.1	GenBank	Annotation submitted by Triques K., Retrovirus, Ird, 34000, Montpellier, FRANCE	Complete Genome	8589	8589	1999-10-21	4		
Human immunodeficiency virus 1		isolate: 96FR-MP411	11676	ASM310874v1	GCA_003108745.1	GenBank	Annotation submitted by Triques K., Retrovirus, Ird, 34000, Montpellier, FRANCE	Complete Genome	8614	8614	1999-10-21	4		
Human immunodeficiency virus 1		isolate: 96CM-MP535	11676	ASM310876v1	GCA_003108765.1	GenBank	Annotation submitted by Triques K., Retrovirus, Ird, 34000, Montpellier, FRANCE	Complete Genome	8604	8604	1999-10-21	4		
Human immunodeficiency virus 1		strain: CM_YBF106	11676	ASM310880v1	GCA_003108805.1	GenBank	Annotation submitted by Service de Neurovirologie / DRM / DSV, Commissariat a l'Energie Atomique, B.P. 6, Fontenay aux Roses 92 265, FRANCE	Complete Genome	9045	9045	2000-07-05	4		
Human immunodeficiency virus 1		isolate: 97CM.MP807	11676	ASM310882v1	GCA_003108825.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, IRD, 911 avenue Agropolis, BP5045, 34 32 Montpellier, FRANCE	Complete Genome	8801	8801	2000-04-27	9		
Human immunodeficiency virus 1		isolate: 97SE1078	11676	ASM310884v1	GCA_003108845.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, I.R.D., 911 avenue Agropolis, BP5045, 34032 Montpellier Cedex 1, FRANCE	Complete Genome	9808	9808	2000-07-22	9		
Human immunodeficiency virus 1		isolate: 95127	11676	ASM310886v1	GCA_003108865.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, I.R.D., 911 avenue Agropolis, BP5045, 34032 Montpellier Cedex 1, FRANCE	Complete Genome	9719	9719	2000-07-22	9		
Human immunodeficiency virus 1		isolate: 97CM-MP818	11676	ASM310888v1	GCA_003108885.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, Ird, 911 avenue Agropolis, 34032 Montpellier, FRANCE	Complete Genome	9711	9711	2002-01-06	9		
Human immunodeficiency virus 1		isolate: 99FR-MP1298	11676	ASM310890v1	GCA_003108905.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, Ird, 911 avenue Agropolis, 34032 Montpellier, FRANCE	Complete Genome	9737	9737	2001-08-18	9		
Human immunodeficiency virus 1		isolate: 99FR-MP1307	11676	ASM310892v1	GCA_003108925.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, Ird, 911 avenue Agropolis, 34032 Montpellier, FRANCE	Complete Genome	9769	9769	2002-01-06	9		
Human immunodeficiency virus 1		isolate: 99SE-MP1299	11676	ASM310894v1	GCA_003108945.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, Ird, 911 avenue Agropolis, 34032 Montpellier, FRANCE	Complete Genome	9859	9859	2001-05-15	9		
Human immunodeficiency virus 1		isolate: 99SE-MP1300	11676	ASM310896v1	GCA_003108965.1	GenBank	Annotation submitted by Montavon C., Laboratoire Retrovirus, Ird, 911 avenue Agropolis, 34032 Montpellier, FRANCE	Complete Genome	9829	9829	2001-05-15	9		
Human immunodeficiency virus 1		strain: 97DC.KTB49	11676	ASM310898v1	GCA_003108985.1	GenBank	Annotation submitted by Vidal N., Laboratoire Retrovirus, Ird, 911 av. Agropolis. BP5045, 34032 Montpellier Cedex 1, FRANCE	Complete Genome	8936	8936	2001-01-23	7		
Human immunodeficiency virus 1		isolate: 97NE03	11676	ASM310900v1	GCA_003109005.1	GenBank	Annotation submitted by Vidal N., UR 36, I.R.D, 911, Avenue Agropolis. BP 64501, 34394 Montpellier Cedex 5, FRANCE	Complete Genome	9794	9794	2003-10-02	6		
Human immunodeficiency virus 1		isolate: 00IC-10092	11676	ASM310902v1	GCA_003109025.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9775	9775	2005-08-03	9		
Human immunodeficiency virus 1		isolate: 97CD.KCC2	11676	ASM310904v1	GCA_003109045.1	GenBank	Annotation submitted by Vidal N., UMR145, I.R.D, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9740	9740	2006-02-24	6		
Human immunodeficiency virus 1		isolate: 97CD.KTB13	11676	ASM310906v1	GCA_003109065.1	GenBank	Annotation submitted by Vidal N., UMR145, I.R.D, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9073	9073	2006-02-24	6		
Human immunodeficiency virus 1		isolate: 02CD.KTB035	11676	ASM310908v1	GCA_003109085.1	GenBank	Annotation submitted by Vidal N., UMR145, I.R.D, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9740	9740	2006-02-24	2		
Human immunodeficiency virus type 1 02CD.LBR024		isolate: 02CD.LBR024	467352	ASM310910v1	GCA_003109105.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	8825	8825	2007-10-04	4		
Human immunodeficiency virus type 1 04CD.FR.KZS		isolate: 04CD.FR.KZS	467353	ASM310912v1	GCA_003109125.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9745	9745	2007-10-04	7		
HIV-1 M_97CD.KTB119		isolate: 97CD.KTB119	576897	ASM310916v1	GCA_003109165.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9780	9780	2009-09-02	8		
HIV-1 M_02CD.KS069		isolate: 02CD.KS069	576900	ASM310918v1	GCA_003109185.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9128	9128	2009-09-02	8		
HIV-1 M_02CD.LBTB084		isolate: 02CD.LBTB084	576901	ASM310920v1	GCA_003109205.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9721	9721	2009-09-02	8		
HIV-1 M_02CD.MBTB047		isolate: 02CD.MBTB047	576902	ASM310922v1	GCA_003109225.1	GenBank	Annotation submitted by Vidal N., UMR145, Ird, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9731	9731	2009-09-02	8		
Human immunodeficiency virus 1		isolate: 97CD.MBFE185	11676	ASM310924v1	GCA_003109245.1	GenBank	Annotation submitted by Vidal N., UMR145, IRD, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9158	9158	2009-12-16	8		
Human immunodeficiency virus 1		isolate: 97CD.MBS30	11676	ASM310926v1	GCA_003109265.1	GenBank	Annotation submitted by Vidal N., UMR145, IRD, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	8536	8536	2009-12-16	8		
Human immunodeficiency virus 1		isolate: 97CM.MP814	11676	ASM310928v1	GCA_003109285.1	GenBank	Annotation submitted by Vidal N., UMR145, IRD, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9146	9146	2009-12-16	8		
Human immunodeficiency virus 1		isolate: 97GA.TB45	11676	ASM310930v1	GCA_003109305.1	GenBank	Annotation submitted by Vidal N., UMR145, IRD, 911 avenue Agropolis, 34394 Montpellier cedex 5, FRANCE	Complete Genome	9086	9086	2009-12-16	8		
Human immunodeficiency virus 1		isolate: 97CDKFE4	11676	ASM311228v1	GCA_003112285.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Chromosome	5100	5100	2001-06-27	2		
Human immunodeficiency virus 1		isolate: 97CDKS10	11676	ASM311232v1	GCA_003112325.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Chromosome	5323	5323	2001-06-27	1		
Human immunodeficiency virus 1		isolate: CY236	11676	ASM318759v1	GCA_003187595.1	GenBank	Annotation submitted by Biological Sciences, University of Cyprus	Complete Genome	8168	8168	2011-04-13	9		
Human immunodeficiency virus 1		isolate: DEMA111KE002	11676	ASM318762v1	GCA_003187625.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8991	8991	2013-11-12	9		
Human immunodeficiency virus 1		isolate: DEMA114PK001	11676	ASM318766v1	GCA_003187665.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9193	9193	2016-12-08	9		
Human immunodeficiency virus 1		isolate: DEMA111RW002	11676	ASM318768v1	GCA_003187685.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9033	9033	2013-11-12	9		
Human immunodeficiency virus 1		isolate: DEMA110UG009	11676	ASM318770v1	GCA_003187705.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8948	8948	2013-11-12	9		
Human immunodeficiency virus 1		isolate: 503_15344_T10_A1	11676	ASM318772v1	GCA_003187725.1	GenBank	Annotation submitted by Clinical Laboratory Sciences, University of Cape Town	Complete Genome	8688	8688	2015-07-31	9		
Human immunodeficiency virus 1		isolate: PV85	11676	ASM318774v1	GCA_003187745.1	GenBank	Annotation submitted by Laboratory of HIV and Opportunistic Infections Diagnosis, The Republican Research and Practical Centre For Epidemiology and Microbiology	Complete Genome	9020	9020	2016-01-07	9		
Human immunodeficiency virus 1		isolate: CY255	11676	ASM318776v1	GCA_003187765.1	GenBank	Annotation submitted by Biological Sciences, University of Cyprus	Complete Genome	8138	8138	2011-04-13	9		
Human immunodeficiency virus 1		isolate: 11RU6950	11676	ASM318778v1	GCA_003187785.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9205	9205	2012-10-18	9		
Human immunodeficiency virus 1		isolate: DEMA112UA014	11676	ASM318782v1	GCA_003187825.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9836	9836	2016-12-08	9		
Human immunodeficiency virus 1		isolate: 10BR_RJ032	11676	ASM318785v1	GCA_003187855.1	GenBank	Annotation submitted by virology, Instituto de medicina Tropical - USP	Complete Genome	9176	9176	2014-08-18	9		
Human immunodeficiency virus 1		isolate: 502-1191_03	11676	ASM318788v1	GCA_003187885.1	GenBank	Annotation submitted by Microbiology, University of Washington	Complete Genome	9072	9072	2011-03-09	7		
Human immunodeficiency virus 1		isolate: CHLSM2SI5082i0803101ppNFLG8	11676	ASM318790v1	GCA_003187905.1	GenBank	Annotation submitted by Microbiology, University of Washington	Complete Genome	9221	9221	2013-05-10	7		
Human immunodeficiency virus 1		isolate: DEMB12CN006	11676	ASM318792v1	GCA_003187925.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8998	8998	2015-02-04	9		
Human immunodeficiency virus 1		isolate: 14CU005	11676	ASM318794v1	GCA_003187945.1	GenBank	Annotation submitted by AIDS Research Laboratory	Complete Genome	8318	8318	2015-12-23	5		
Human immunodeficiency virus 1		isolate: 366396	11676	v1.0	GCA_003187965.1	GenBank	Annotation submitted by Ragon Institute of MGH, MIT and Harvard	Complete Genome	8567	8567	2015-11-21	9		
Human immunodeficiency virus 1		isolate: ARP1195	11676	ASM318799v1	GCA_003187995.1	GenBank	Annotation submitted by Unidad de Biologia y Variabilidad del VIH, Instituto de Salud Carlos III. Centro Nacional de Microbiologia	Complete Genome	8975	8975	2015-08-10	9		
